File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF270JNZ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/, /files/ENCFF182ZGK/	2760924	ENCODE Processing Pipeline	527acde68e0be423b391318d071243cb		https://www.encodeproject.org/files/ENCFF270JNZ/@@download/ENCFF270JNZ.bed.gz				released	s3://encode-public/2021/02/25/4b3e56ad-49c2-40c7-99b6-e98b9ae378cf/ENCFF270JNZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/4b3e56ad-49c2-40c7-99b6-e98b9ae378cf/ENCFF270JNZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF059CGX	bam	bam		unfiltered alignments	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF591BAY/, /files/ENCFF332SCG/, /files/ENCFF110MCL/	13701393831	ENCODE Processing Pipeline	4fc3625545b1d686dd5b10417684fe64		https://www.encodeproject.org/files/ENCFF059CGX/@@download/ENCFF059CGX.bam				released	s3://encode-public/2021/02/25/899c5e37-883b-4efb-9b63-3e1fd297a284/ENCFF059CGX.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/899c5e37-883b-4efb-9b63-3e1fd297a284/ENCFF059CGX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF182ZGK	bam	bam		alignments	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF110MCL/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF332SCG/, /files/ENCFF212UAV/, /files/ENCFF356LFX/, /files/ENCFF591BAY/, /files/ENCFF140XLU/	6105877645	ENCODE Processing Pipeline	89d7411772c90678fc9ba99ca50841e3		https://www.encodeproject.org/files/ENCFF182ZGK/@@download/ENCFF182ZGK.bam				released	s3://encode-public/2021/02/25/561ed9a8-65c1-4a48-abec-ee6f10fd2fe1/ENCFF182ZGK.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/561ed9a8-65c1-4a48-abec-ee6f10fd2fe1/ENCFF182ZGK.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF287UHP	bigBed narrowPeak	bigBed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR086OGH	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0001159	sigmoid colon	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF270JNZ/	6569988	ENCODE Processing Pipeline	46f2ae76779da5be7de09b63d5c2ceb9		https://www.encodeproject.org/files/ENCFF287UHP/@@download/ENCFF287UHP.bigBed				released	s3://encode-public/2021/02/25/1b862318-d014-4eeb-9e2b-cf0aafdd7298/ENCFF287UHP.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/1b862318-d014-4eeb-9e2b-cf0aafdd7298/ENCFF287UHP.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF521ITF	fastq	fastq		reads		ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	1	/files/ENCFF346CDZ/			4500653597	Michael Snyder, Stanford	64a38bff415be87efc61d2a63dacf8c4	SRA:SRR14305749	https://www.encodeproject.org/files/ENCFF521ITF/@@download/ENCFF521ITF.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2016/04/26/84d16288-9736-4af5-a298-3bdded655fa0/ENCFF521ITF.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/84d16288-9736-4af5-a298-3bdded655fa0/ENCFF521ITF.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF346CDZ	fastq	fastq		reads		ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1	100		paired-ended	2	/files/ENCFF521ITF/			4736024950	Michael Snyder, Stanford	9b138d252f4515d7c6c96034d435e850	SRA:SRR14305749	https://www.encodeproject.org/files/ENCFF346CDZ/@@download/ENCFF346CDZ.fastq.gz		Illumina HiSeq 4000		released	s3://encode-public/2016/04/26/6574fe31-5766-40d6-94b0-16f9010884da/ENCFF346CDZ.fastq.gz	https://datasetencode.blob.core.windows.net/dataset/2016/04/26/6574fe31-5766-40d6-94b0-16f9010884da/ENCFF346CDZ.fastq.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D			moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF675QOY	bam	bam		alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF521ITF/, /files/ENCFF346CDZ/	5930910427	Anshul Kundaje, Stanford	85e4ba19db10cfa0f75dfd66f5ef0c61		https://www.encodeproject.org/files/ENCFF675QOY/@@download/ENCFF675QOY.bam				released	s3://encode-public/2016/12/22/205e2227-e2f8-489f-8ee3-acb6a996f8b6/ENCFF675QOY.bam	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/205e2227-e2f8-489f-8ee3-acb6a996f8b6/ENCFF675QOY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF368VLY	bigWig	bigWig		signal p-value	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF675QOY/	1174000349	Anshul Kundaje, Stanford	ae7151d7a23e1dac715f1edc6ad738d0		https://www.encodeproject.org/files/ENCFF368VLY/@@download/ENCFF368VLY.bigWig				released	s3://encode-public/2016/12/22/a658590c-4964-4f9f-9c62-90d8a00fa6a2/ENCFF368VLY.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/a658590c-4964-4f9f-9c62-90d8a00fa6a2/ENCFF368VLY.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF415RKU	bigWig	bigWig		fold change over control	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF675QOY/	1385037599	Anshul Kundaje, Stanford	4248853c99a6b9e3b77159319300b7de		https://www.encodeproject.org/files/ENCFF415RKU/@@download/ENCFF415RKU.bigWig				released	s3://encode-public/2016/12/22/c7634c18-a080-4b59-911f-582cb74191a6/ENCFF415RKU.bigWig	https://datasetencode.blob.core.windows.net/dataset/2016/12/22/c7634c18-a080-4b59-911f-582cb74191a6/ENCFF415RKU.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	archived	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF281QKD	bam	bam		unfiltered alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF346CDZ/, /files/ENCFF110MCL/, /files/ENCFF521ITF/	13538873235	ENCODE Processing Pipeline	8895c38189da3801582c2d83de6c4c0d		https://www.encodeproject.org/files/ENCFF281QKD/@@download/ENCFF281QKD.bam				released	s3://encode-public/2021/02/25/82a9663b-65e8-4c9c-b5db-352a83a31923/ENCFF281QKD.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/82a9663b-65e8-4c9c-b5db-352a83a31923/ENCFF281QKD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF858TZP	bam	bam		alignments	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1		101					/files/ENCFF346CDZ/, /files/ENCFF304XEX/, /files/ENCFF521ITF/, /files/ENCFF493CCB/, /files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF212UAV/, /files/ENCFF356LFX/	5993297882	ENCODE Processing Pipeline	a9aa1e42082d5d7f74fd99e66be88097		https://www.encodeproject.org/files/ENCFF858TZP/@@download/ENCFF858TZP.bam				released	s3://encode-public/2021/02/25/f656d0fd-8bf4-4730-8ae9-965f988e2414/ENCFF858TZP.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/f656d0fd-8bf4-4730-8ae9-965f988e2414/ENCFF858TZP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF872BRQ	bigWig	bigWig		signal p-value	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	1295276136	ENCODE Processing Pipeline	87003ce0162d7b99b76449f8847d601a		https://www.encodeproject.org/files/ENCFF872BRQ/@@download/ENCFF872BRQ.bigWig				released	s3://encode-public/2021/02/25/3ec8dda8-3910-46a0-a548-8f2d6cd36182/ENCFF872BRQ.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/3ec8dda8-3910-46a0-a548-8f2d6cd36182/ENCFF872BRQ.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF841ZHA	bigWig	bigWig		fold change over control	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	1425410099	ENCODE Processing Pipeline	486b00b039875f77111f732b6a076554		https://www.encodeproject.org/files/ENCFF841ZHA/@@download/ENCFF841ZHA.bigWig				released	s3://encode-public/2021/02/25/24382bb9-d6ad-4677-a65a-4c816fa7f7bd/ENCFF841ZHA.bigWig	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/24382bb9-d6ad-4677-a65a-4c816fa7f7bd/ENCFF841ZHA.bigWig?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF169UCZ	bed idr_ranked_peak	bed	idr_ranked_peak	IDR ranked peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF858TZP/	5370813	ENCODE Processing Pipeline	c16eda067b4881f4fb50bd45a0ddd5e5		https://www.encodeproject.org/files/ENCFF169UCZ/@@download/ENCFF169UCZ.bed.gz				released	s3://encode-public/2021/02/25/f6068eb7-6980-48be-aa15-e12567b96124/ENCFF169UCZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/f6068eb7-6980-48be-aa15-e12567b96124/ENCFF169UCZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF430VEQ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF356LFX/, /files/ENCFF858TZP/	1114050	ENCODE Processing Pipeline	bddb3ec0b4551319360b88c13b55fede		https://www.encodeproject.org/files/ENCFF430VEQ/@@download/ENCFF430VEQ.bed.gz				released	s3://encode-public/2021/02/25/8b898697-c591-472a-b20a-a23a1b5f9bfa/ENCFF430VEQ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/8b898697-c591-472a-b20a-a23a1b5f9bfa/ENCFF430VEQ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
ENCFF139JJY	bigBed narrowPeak	bigBed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR851SBY	ATAC-seq	/human-donors/ENCDO451RUA/	UBERON:0000945	stomach	tissue	Homo sapiens											DNA						2016-06-15	ENCODE			150-250	1	1_1							/files/ENCFF430VEQ/	2746386	ENCODE Processing Pipeline	1c1a319a93127ef097795966d44e0ee3		https://www.encodeproject.org/files/ENCFF139JJY/@@download/ENCFF139JJY.bigBed				released	s3://encode-public/2021/02/25/3463e1e2-4e0a-4a78-8c8d-551be8ed659f/ENCFF139JJY.bigBed	https://datasetencode.blob.core.windows.net/dataset/2021/02/25/3463e1e2-4e0a-4a78-8c8d-551be8ed659f/ENCFF139JJY.bigBed?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking, moderate number of reproducible peaks	low FRiP score	
